knowledge_id,genre_id,knowledge_to_genre
1,11,belong_to
1,22,belong_to
2,22,belong_to
3,11,belong_to
3,22,belong_to
4,11,belong_to
4,22,belong_to
5,22,belong_to
6,22,belong_to
7,22,belong_to
8,22,belong_to
9,22,belong_to
10,22,belong_to
11,22,belong_to
12,11,belong_to
12,22,belong_to
13,22,belong_to
14,22,belong_to
15,22,belong_to
16,22,belong_to
17,22,belong_to
18,22,belong_to
19,11,belong_to
19,22,belong_to
20,11,belong_to
20,22,belong_to
21,11,belong_to
21,22,belong_to
22,22,belong_to
23,22,belong_to
25,11,belong_to
25,22,belong_to
26,22,belong_to
27,11,belong_to
27,22,belong_to
28,22,belong_to
29,11,belong_to
29,22,belong_to
30,11,belong_to
30,22,belong_to
31,22,belong_to
32,22,belong_to
33,11,belong_to
33,22,belong_to
34,11,belong_to
34,22,belong_to
35,11,belong_to
35,22,belong_to
36,22,belong_to
37,22,belong_to
38,22,belong_to
39,22,belong_to
40,22,belong_to
41,22,belong_to
42,22,belong_to
43,22,belong_to
44,11,belong_to
44,22,belong_to
45,11,belong_to
45,22,belong_to
46,22,belong_to
47,22,belong_to
48,11,belong_to
48,22,belong_to
49,22,belong_to
50,22,belong_to
51,22,belong_to
52,22,belong_to
53,22,belong_to
54,22,belong_to
55,11,belong_to
55,22,belong_to
56,22,belong_to
57,11,belong_to
57,22,belong_to
58,22,belong_to
59,22,belong_to
60,22,belong_to
61,22,belong_to
62,22,belong_to
63,11,belong_to
63,22,belong_to
64,11,belong_to
64,22,belong_to
65,22,belong_to
66,11,belong_to
66,22,belong_to
67,22,belong_to
68,22,belong_to
69,22,belong_to
70,22,belong_to
71,22,belong_to
72,22,belong_to
73,22,belong_to
74,11,belong_to
74,22,belong_to
75,22,belong_to
76,11,belong_to
76,22,belong_to
77,22,belong_to
78,11,belong_to
78,22,belong_to
79,11,belong_to
79,22,belong_to
80,22,belong_to
81,22,belong_to
82,22,belong_to
83,22,belong_to
84,22,belong_to
85,22,belong_to
86,22,belong_to
87,22,belong_to
88,11,belong_to
88,22,belong_to
89,11,belong_to
89,22,belong_to
90,22,belong_to
91,22,belong_to
92,22,belong_to
93,11,belong_to
93,22,belong_to
94,22,belong_to
95,22,belong_to
96,11,belong_to
96,22,belong_to
97,11,belong_to
97,22,belong_to
98,11,belong_to
98,22,belong_to
99,11,belong_to
99,22,belong_to
100,22,belong_to
101,11,belong_to
101,22,belong_to
102,22,belong_to
103,11,belong_to
103,22,belong_to
104,22,belong_to
105,22,belong_to
106,22,belong_to
107,22,belong_to
108,22,belong_to
109,11,belong_to
109,22,belong_to
110,22,belong_to
